売上日,品番,商品名,数量,売上単価,仕入単価,粗利,受注番号
2023/5/17 18:00,PV-17GK,【マフラー交換に必須】パインバレーオリジナル■2017年以降スポーツスター・ダイナ・ソフテイル用マフラージョイントガスケット2個セット [PV-17GK][65900017],2,3100,,,77857
2023/5/17 18:00,as-m,アドサウンド■ 専用マイク addSound microphone 音声通話,1,5500,4400,20,410178-20230516-0617823649
2023/5/17 18:00,,ポイント,1,-970,,,410178-20230517-0900223702
2023/5/17 18:00,PV-PTSHOT,パインバレーオリジナル■ プラチナショット (1本) ハーレーが踊り狂う添加剤,1,5970,945,84,410178-20230517-0900223702
2023/5/17 18:00,TUV,8E-6LI7-GH04 パインバレーオリジナル鼓動感アップ「テイストアップ・バルブ」 【1個】 | 【ゴールデンセール】オリジナル■鼓動感アップ「テイストアップ・バルブ」,1,7640,1034,86,249-2258489-7601466
2023/5/17 18:00,,送料,1,600,,,77846
2023/5/17 18:00,52200003,ハーレー純正■ハーレーダビッドソン・ヘルメットロック [52200003],1,5760,3474,40,77846
2023/5/17 18:00,,ポイント,1,-373,,,77785
2023/5/17 18:00,17369-06,ハーレー純正■ダービーカバー用ガスケット 【ダイナ・ソフテイル・ツーリング】,1,1370,896,35,77785
2023/5/17 18:00,62700296,ハーレー純正■スーパープレミアム5 オイルフィルターエレメント ブラック【ミルウォーキーエイト】,1,3430,1914,44,77785
2023/5/17 18:00,PV-PM2050,パインバレーオリジナル■【ハーレー専用】100%化学合成プラチナ・プライマリーオイル [PV-PM2050]プラチナオイル,1,2630,784,70,77785
2023/5/17 18:00,PV-G80140,パインバレーオリジナル■【ハーレー専用】プラチナ・ギアオイル（トランスミッション用） [PV-G80140]プラチナオイル,1,4370,1509,65,77785
2023/5/17 18:00,PV-PT2050,パインバレーオリジナル■【ハーレー専用】100%化学合成プラチナ・エンジンオイル [PV-PT2050],6,3300,1342,59,77785
2023/5/17 18:00,PV-PM2050,パインバレーオリジナル■ 【ハーレー専用】 100%化学合成 プラチナ・プライマリーオイル (1L) 20W50 プラチナオイル,5,2890,784,73,410178-20230516-0666523580
2023/5/17 18:00,CFR-FLH008-7B,【ゴールデンセール】CFR■スリップオン マフラー アングルチップ CFR Slip-On Exhaust Mufflers with JNC Angle Tips 17年以降ツーリング用 ブラック[CFR-FLH008-7B］,1,115000,92110,20,77807
2023/5/17 18:00,,送料,1,600,,,77806
